project_name,twitter_handle,rootdata_full_introduction,rootdata_brief_introduction,rootdata_tag_names
lava-network,lavanetxyz,"Lava is a modular data access layer for blockchains. It introduces specs: a modular primitive that lets contributors permissionlessly add support for new chains and data services to the base protocol. RPC is the first service supported by the protocol but we are soon bringing further choice by integrating with indexing and API partners, such as Subsquid. Data consumers send requests to Lava’s network of data providers (node operators), who join Lava to meet demand for data. Lava creates dynamic, scalable markets around any blockchain data service. The protocol also creates crypto-economic guarantees around the quality of service, across speed, uptime and data accuracy. ",Modular data access layer,"Data Market,Infra,Modular"
injective,injective,"Injective is an interoperable layer-1 blockchain that powers the next generation of financial applications. Injective uniquely provides plug-and-play financial infrastructure primitives such as high-performance on-chain decentralized trading infrastructure, decentralized bridges, oracles, and multiple composable smart contract layers such as CosmWasm and EVM.",Layer1 Blockchain Optimized for DeFi Applications,"Layer1,DeFi,Infra"
kaito,kaitoai,"Kaito is the distribution center of crypto for information, attention and capital evolving to become the interoperable InfoFi layer that sits on top of the internet’s walled gardens, connecting creators, users, and brands in a fundamentally new way. By indexing thousands of sources — across social media, governance forums, research, news, podcasts, conference transcripts, and more — and combining this with proprietary search algorithms, semantic LLM capabilities, and real-time analytics, Kaito Pro streamlines access to high-quality, actionable insights in the crypto space. Kaito Yaps leverages advanced AI algorithms to extract and interpret rich signals — such as social graphs and semantic understanding — to quantify attention. Kaito Connect is AI-powered InfoFi network that enables the market to distribute attention and capital in a fairer, more transparent and more efficient way, while rewarding all participants.",Distribution center of crypto,"Tools,Data & Analysis,AI,InfoFi"
wormhole,wormhole,"Wormhole is a decentralized, universal message-passing protocol that enables developers and users of cross chain applications to leverage the advantages of multiple ecosystems.",Web3 Universal Messaging Protocol,
sei,SeiNetwork,"Sei is a general purpose, open-source Layer 1 blockchain specialized for the exchange of digital assets. Sei addresses the exchange scalability problem by building the first Layer 1 specialized for trading, optimizing every layer of the stack to offer the best infrastructure for the exchange of digital assets.",Layer 1 blockchain for digital assets exchange,"Layer1,Infra,Parallel EVM"
mubarakah,Mubarakah_CTO,"Mubarak is a female version of Meme Mubarak created by netizens based on the image of He Yi, co-founder of Binance.",Female Mubarak Memecoin,MEME
kindred-2,kindred_ai,"Kindred is a decentralized AI companion platform with over 20 well-known IPs from the Web2 and Web3 domains. It aims to transform iconic IPs into agents with emotional intelligence, redefining human-computer interaction.",Decentralized AI companion platform,"Social,AI,AI Agent"
xrp,Ripple,"Ripple is a real-time gross settlement system, currency exchange, and remittance network created by Ripple Labs Inc., a US-based technology company. Released in 2012, Ripple is based on a distributed open source protocol and supports tokens representing fiat currency, cryptocurrency, commodities, or other units of value. It claims to enable ""secure, instant, and nearly free global financial transactions of any size with no chargebacks"".",International remittance solution,"Enterprise Blockchain,Payment"
chronoforge,playchronoforge,"ChronoForge is a Genesis adventure project offering 7,500 unique playable characters and mini-games. These characters represent different races and can participate in metaverse gaming, providing users with a unique gaming experience. Through this project, users can also obtain $CHRONOS utility tokens for additional adventures and land NFTs.",Metaverse Games,Gaming
beldex,BeldexCoin,"Beldex is a privacy-based ecosystem comprising of privacy-first decentralized applications, such as BChat, BelNet, the Beldex Browser, the Beldex Privacy Protocol, and the Beldex Bridge.",Privacy-based ecosystem consisting of privacy-first decentralized applications,"Layer1,Privacy,Infra"
kalshi,Kalshi,"Kalshi is a federally regulated prediction market that supports cryptocurrency deposits.where investors can trade event contracts tied to real-world events. Trading contracts based on the outcome of specific events allows users to tap into a wider range of topics compared to traditional stock and derivatives. Whether you are an expert in a particular field or have a keen interest in certain subjects (news, finance, pop culture, etc.), Kalshi provides an opportunity to earn profits based on accurate predictions. Kalshi also provides extensive resources and tools (tutorials, market data, etc.) to help traders understand prediction markets and improve their trading strategies.",Prediction Market,Prediction market
coinbase,coinbase,"Coinbase（NASDAQ: COIN）is one of the largest cryptocurrency exchanges in the world, founded in June 2012 by Brian Armstrong, a former Airbnb engineer. As of July 2022, it has around 98 million verified users, 13,000 institutions, and 230,000 ecosystem partners in over 100 countries. People trust Coinbase to easily and securely invest, spend, save, earn, and use crypto. Coinbase's mission is to increase economic freedom globally.",Cryptocurrency exchange（NASDAQ: COIN）,"CEX,Custody,CeFi,Publicly listed company,Crypto Stocks"
folks-finance,folksfinance,"Folks Finance is a capital markets protocol for borrowing and lending, built on top of Algorand. Users can deposit assets to accumulate yield, take loans by providing collateral, swap assets via Folks Router, and participate in Algorand Governance through gALGO and xALGO assets.",Capital markets protocol for borrowing and lending,"Lending,DeFi"
pippin,pippinlovesyou,pippin is a Meme coin on the Solana chain.,Meme Coin on the Solana Chain,MEME
tether,Tether_to,"Tether, the world's largest issuer of stablecoins, is a company that issues stablecoins pegged 1:1 to fiat currencies and aims to promote the digital use of fiat currencies. It currently has four divisions: Tether Data, which specializes in AI and P2P technology investments; Tether Finance, which manages stablecoin services; Tether Power, which is responsible for sustainable bitcoin mining; and Tether Edu, which promotes digital skills education.",The largest issuer of stablecoin in the world,"Stablecoin Issuer,CeFi"
goat-network,GOATRollup,"GOAT Network is a sustainable BTC revenue chain powered by decentralized serializers using multi-currency PoS.GOAT's mission is to transform BTC and DOGE from passive holdings to active, revenue-generating assets, unlocking the full potential of BTCFi and MemeFi through an economic model that tokens the revenues of serializers.",Sustainable BTC Yield ,"Layer2,Infra"
standx-dusd,StandX_Official,StandX is a perpetual DEX that enables users to trade with yield-earning margins. DUSD is StandX's first product - a yield-bearing stablecoin. ,Perpetual DEX,"Derivatives,Stablecoin Protocol,Perp,DeFi"
doodles,doodles,"Doodles is a collection of 10,000 Non-Fungible Tokens (NFTs), made up of hundreds of exciting visual traits designed by Burnt Toast. These hand-drawn Doodles include skellys, cats, aliens, apes, and mascots, as well as dozens of rare heads, costumes, and colorways from the artist's palette. As the universe expands, collectors can enjoy exclusive access to the latest products, merchandise, and events through ownership.","A collection of 10,000 NFTs","NFT Collections,NFT"
bnb,binance,"Binance is one of the world's largest digital asset exchanges, aiming to be the infrastructure services provider for the blockchain ecosystem. It features a portfolio of crypto products and offerings, such as trading and finance, education, data and research, social good, investment and incubation, decentralization and infrastructure solutions, and more.",The world's largest digital asset exchange,"CEX,CeFi"
aster,Aster_DEX,"Aster is a next-generation decentralized perpetual exchange built for everyone, committed to delivering a seamless, powerful, and truly decentralized on-chain derivatives trading experience.  From one-click trading to smart automation and deep on-chain liquidity, Aster is rethinking how DeFi should work — simple, efficient, and built for users.",Next-Generation Decentralized Perpetual Exchange,"DEX,Perp,DeFi"
warden,wardenprotocol,"Warden Protocol is a full-stack purpose-built L1 blockchain designed for developers to build Intelligent Applications. Warden creates a verifiable, AI-native blockchain where models are accessible to anyone and anywhere, their outputs directly powering smart applications. The platform is designed to build unlimited applications:: Intelligent Applications run seamlessly onchain and operate offchain, or vice versa. Developers on Cosmos, Ethereum, or Solana can build with Warden. Warden is chain-agnostic.",Intention-driven modular blockchain,"Layer1,AI,Infra,Intent"
dm-fun,dmdotfun,dm.fun is an NFT-related project based on Solana.,NFT-related project based on Solana,NFT
airaa,airaaagent,Airaa is the unified intelligence platform connects social and onchain signals to identify and reward real contributors.,Unified Intelligence Stack for Web3,InfoFi
pendle,pendle_fi,"Pendle is a yield trading protocol that allows users to tokenize and trade future yields by leveraging top yield-generating protocols such as Aave, Compound, and Wonderland. Similar to stripped bonds in traditional finance, Pendle splits yield-bearing assets into tokenized ownership (zero-coupon bonds) and yield components (coupons), enabling innovative yield trading opportunities.",Yield trading protocol,"Derivatives,Yield Tokenization,LSD,DeFi"
ripple-usd,Ripple,"Ripple is a real-time gross settlement system, currency exchange, and remittance network created by Ripple Labs Inc., a US-based technology company. Released in 2012, Ripple is based on a distributed open source protocol and supports tokens representing fiat currency, cryptocurrency, commodities, or other units of value. It claims to enable ""secure, instant, and nearly free global financial transactions of any size with no chargebacks"".",International remittance solution,"Enterprise Blockchain,Payment"
rainbow-wallet,rainbowdotme,Rainbow is a mobile wallet app that enables users to interact with decentralized applications on the Ethereum blockchain.,Mobile wallet app,"Wallet,Infra"
arbitrum,arbitrum,"Arbitrum, created by the Offchain Labs team, is an Ethereum Layer2 scaling solution based on Optimistic Rollup technology. It leverages the ability to communicate between L1 and L2, allowing any form of Ethereum asset to be transferred between Layer 1 and Layer 2 without the need for trust. Even though Arbitrum transactions are still settled on Ethereum, only raw transaction data is submitted to Ethereum, with execution and contract storage occurring off-chain. This makes the gas fee required on Arbitrum much smaller than on the mainnet, and contracts are fully compatible with no gas limit.",Ethereum Layer2 scaling solution,"Layer2,Infra"
solana,solana,"Solana is a high-performance blockchain protocol designed to enable scalable, user-friendly applications for the world.",High performance underlying blockchain,"Layer1,Infra"
hashkey-group,HashKeyGroup,"HashKey Group is an end-to-end digital asset financial services group in Asia, offering new investment opportunities and solutions to institutions, family offices, funds, and professional investors across the digital asset and blockchain ecosystem. The Group provides a complete ecosystem across the entire digital asset landscape, ranging from venture investment to custody, technologies, and trading. Its core businesses also include HashKey Capital, a global asset manager investing exclusively in blockchain technology and digital assets; HashKey Cloud, a blockchain node validation service provider; HashKey Tokenisation, tokenisation services provider; and HashKey NFT, Web3 PFP incubation and community operation service provider, among others.",Digital asset financial services group,"CeFi,Asset Management（CeFi）"
gensyn,gensynai,"Gensyn is a decentralized AI compute network for training AI models. This network uses blockchain technology to verify that the deep learning tasks have been completed correctly, triggering payments through a token.",Decentralized AI compute network,"Layer1,Cloud Computing,AI,Infra"
moremarkets,moremarketsxyz,"MoreMarkets is a decentralized finance platform where users can deposit tokens to earn returns supported by various strategies. MoreMarkets aims to make safe, transparent, and easy-to-use yield products accessible to everyone.",Decentralized finance platform,"DeFi,Yield aggregator"
brevis,brevis_zk,"Brevis is a Zero-Knowledge (ZK) omnichain data attestation platform that enables dApps to access, compute, and utilize arbitrary data across multiple blockchains in a completely trust-free way.Brevis has a wide range of use cases like data-driven DeFi, zkBridges, on-chain user acquisition, zkDIDs, social account abstraction, and much more.",ZK Omnichain Data Attestation Platform,"Infra,zk"
polymarket,Polymarket,"Polymarket is a decentralized information markets platform that lets users trade on the world's most highly-debated topics (e.g. coronavirus, politics, current events, etc). On Polymarket, users can build a portfolio based on their forecasts and earn a return if they are correct. When users buy shares in a market, they are expressing their own knowledge, research, and view of the future. Market prices reflect what traders think are the odds of future events, turning trading activity into actionable insights to help people make better decisions. Thus, Polymarket is a leading source of unbiased and real-time data about future events.","An unbiased, real-time prediction market",Prediction market
tempo,tempo,"Tempo is a high-performance Layer1 blockchain designed for payment, developed by Stripe and Paradigm. With support for all major stablecoins, Tempo enables high-throughput, low-cost global transactions for any business use case.",The blockchain designed for payments,"Layer1,Payment,Infra"
ravedao,RaveDAO,"RaveDAO is a group of music-loving, early cryptocurrency adopters, and tech industry professionals turned hardcore rave enthusiasts. It redefines entertainment as a source of connection, creativity and impact through a combination of flagship events, community-created chapters, and ecosystem-integrated sandboxes.",Cultural brand organization,"Music,DAO"
merlin-chain,MerlinLayer2,"Merlin Chain is a Bitcoin Layer 2 powered by Bitmap, building upon the native assets, protocols, and products on Bitcoin Layer 1, to Make Bitcoin Fun Again.",Bitcoin Layer 2 ,"Layer2,Infra,Bitcoin Ecosystem"
mx,MEXC_Official,"MEXC is a one-stop cryptocurrency trading platform. It offers support for over 160 cryptocurrency contract transactions, 1,600 cryptocurrency spot transactions, and 400 cryptocurrency ETF transactions.",Cryptocurrency exchange ,"CEX,CeFi"
ethereum,ethereum,"Ethereum is the first decentralized, open-source blockchain with smart contract functionality. It was initially described in a white paper by Vitalik Buterin in late 2013 and launched in 2015. This network serves as the foundation for an ecosystem of interoperable, decentralized applications (dApps) powered by token economies and automated smart contracts. Assets and applications designed on Ethereum are built with self-executing smart contracts that eliminate the need for a central authority or intermediary.  The network is powered by its native cryptocurrency ether (ETH), which is used to pay transaction fees. Ethereum has the characteristics of being open-source, programmable, private, and censorship-resistant, forming the backbone of a decentralized internet.",The first blockchain with smart contract functionality,"Layer1,Infra"
plasma,Plasma,"Plasma is a Layer 1 blockchain purpose-built for global stablecoin payments. It combines high throughput, stablecoin-native features, and full EVM compatibility, giving developers the foundational infrastructure to build next-generation payment and financial applications. It also supports customizable gas tokens, zero-fee USDT transfers, and private payments.",Stablecoin payments infrastructure,"Layer1,Payment,Infra"
ferra,ferra_protocol,"Ferra is the dynamic liquidity layer built natively on the SUI network, delivering deep, flexible, and capital-efficient liquidity for DeFi builders, liquidity providers, and token projects. At its core, Ferra combines three advanced AMM engines: DLMM, CLMM, and DAMM with a comprehensive toolkit that includes a DBC - The Dynamic Bonding Curve  for effortless token launches, an internal Pool & DEX Aggregator for best-price routing, and a fully documented API/SDK for seamless integration across the Sui ecosystem.",Dynamic liquidity layer built on SUI ,"DEX,DeFi"
meteora,MeteoraAG,"Meteora is a protocol for dynamic liquidity pools on Solana. It provides DLMM for concentrated liquidity, enabling automated market makers and token trading. The system supports LP community participation through staking and airdrops.",Dynamic liquidity protocol based on Solana,"DEX,StableSwap,DeFi"
enjin-coin,enjin,Enjin is a platform that enables developers to create and manage virtual goods for games on the blockchain. Enjin hopes to leverage blockchain technology to reduce the high fees and fraud associated with the transfer of virtual goods. ENJ is an ERC-20 token used to pay for digital goods and services on the Enjin platform.,A platform that enables developers to create and manage virtual goods for games,"Gaming Solutions,Infra"
hyperliquid,HyperliquidX,"Hyperliquid is a performant L1 optimized from the ground up. The vision is a fully onchain open financial system with user built applications interfacing with performant native components, all without compromising end user experience. The Hyperliquid L1 is performant enough to operate an entire ecosystem of permissionless financial applications – every order, cancel, trade, and liquidation happens transparently on-chain with block latency <1 second. The flagship native application is a fully onchain order book perpetuals exchange, the Hyperliquid DEX. ",Performant L1,"Layer1,Derivatives,DeFi,Infra"
usdc,circle,"Circle(NASDAQ:CRCL) is a global financial technology firm that enables businesses of all sizes to leverage the power of digital currencies and public blockchains for payments, commerce, and financial applications worldwide. Circle is the issuer of USD Coin (USDC), one of the fastest-growing dollar digital currencies powering always-on, internet-native commerce and payments. Today, Circle's transactional services, business accounts, and platform APIs are giving rise to a new generation of financial services and commerce applications that hold the promise of increasing global economic prosperity through the frictionless exchange of financial value.His stock code is CRCL.",USDC Publisher (NASDAQ:CRCL),"Stablecoin Issuer,CeFi,Publicly listed company,Crypto Stocks"
apex,OfficialApeXdex,"ApeX is a multi-chain decentralized trading protocol based on zero-knowledge proof. It provides contracts and spot transactions under the self-custody of user assets. Its product lines include crypto-perpetual contracts, leveraged event prediction contracts, vault treasury, usdt one-click trading of multi-chain assets and US stock spot.",Multi-chain decentralized transaction protocol,"Derivatives,Perp,DeFi"
mememarket,MemeMarketFun,"MemeMarket is a Meme Coin Prediction Market that offers trading, gaming, and prediction features for users. The $MFUN token drives transactions, with PumpItPoints convertible to $MFUN for rewards. The app includes squads for community competition and earnings. ",Meme Coin Prediction Market,"Prediction market,MEME"
octra,octra,"Octra is an FHE blockchain network with support for isolated execution environments. The majority of the codebase is developed in languages such as OCaml, AST, ReasonML (the language for smart contracts and applications for interacting with the Octra blockchain network), and C++. ",Universal FHE protocol,"Privacy,Infra,FHE"
world-liberty-financial,worldlibertyfi,"World Liberty Financial is a DeFi project supported by the Donald Trump family. Its mission is to ""make cryptocurrencies and America great by promoting the mass adoption of stablecoins and decentralized finance"". World Liberty Financial will first be launched as a market for cryptocurrency lending using Aave infrastructure, and will launch its governance token WLFI and stablecoin USD1. Unlike other governance tokens such as UNI and MKR, WLFI does not provide economic rights.",Crypto Lending Platform,"Lending,Stablecoin Protocol,DeFi"
jupiter,JupiterExchange,"Jupiter is a Solana-based DEX aggregator that aggregates liquidity for traders looking for the best possible prices with minimal slippage. Though Jupiter was initially conceived as a swap engine, the protocol has evolved significantly to include a number of different products for different kinds of users such as: Dollar-Cost Averaging (DCA), limit orders, perpetual trading, and, most recently, a launchpad.",DEX Aggregator,"DEX,Derivatives,DEX Aggregator,Perp,Launchpad,DeFi"
fuel-network,fuel_network,"Fuel is an operating system purpose built for Ethereum Rollups. Fuel allows rollups to solve for PSI (parallelization, state minimized execution, interoperability) without making any sacrifices.",High-performance Ethereum L2,
miden,0xMiden,"Polygon Miden is the Edge Blockchain grants applications the power to scale with public and private transactions. With edge execution and self-custodied state control, users keep full control of their data and transaction details. Miden enables safe smart contract development with Rust and built-in account abstraction, while also minimizing attack surface with native asset storage for user accounts.",The Edge Blockchain,"Layer1,Privacy,Infra"
monero,monero,"Monero is an open-source, privacy-oriented cryptocurrency that was launched in 2014. Its blockchain is intentionally configured to be opaque, making transaction details such as the identity of senders and recipients and the amount of each transaction anonymous by disguising the addresses used by participants.",Privacy-oriented cryptocurrency,"Privacy,Digital Currency,PoW"
bluwhale-points-token,bluwhaleai,"Bluwhale’s innovative AI personalization protocol specializes in unlocking the full potential of decentralized applications (dApps) by extracting deep insights from consenting user wallets across a variety of blockchain networks. Bluwhale’s primary aim is to drive user growth, engagement, and retention by identifying and reaching potential users through data-driven decisions and personalized wallet-to-wallet communication. Bluwhale is scaling its AI network on the blockchain, empowering individuals to monetize and contribute data, storage, and compute power from idle smartphone capacity.",Web3’s Intelligence Layer ,"Tools,Data & Analysis,AI"
